group,hours,survival
other wikis,774,1.0
other wikis,780,1.0
other wikis,786,1.0
other wikis,792,1.0
other wikis,798,1.0
other wikis,804,1.0
other wikis,810,1.0
other wikis,816,1.0
other wikis,822,1.0
other wikis,828,1.0
other wikis,834,1.0
other wikis,840,1.0
other wikis,846,1.0
other wikis,852,1.0
other wikis,858,1.0
other wikis,864,1.0
other wikis,870,1.0
other wikis,876,1.0
other wikis,882,1.0
other wikis,888,1.0
other wikis,894,1.0
other wikis,900,1.0
