id,first_seen,last_seen,n_events,kind,bipartite,wiki,technique
page:dse~ResearchDataRefs~2fQuarterReferences,2026-05-26T14:23:22+00:00,2026-05-26T14:23:22+00:00,1,page,0,dse,
page:dse~AsciiPortalLinkNew70697,2026-05-26T14:23:56+00:00,2026-05-26T14:23:56+00:00,2,page,0,dse,
page:dse~PublicDataBridge,2026-05-26T14:24:01+00:00,2026-05-26T15:52:22+00:00,11,page,0,dse,
page:dse~AliasLangC,2026-05-26T14:24:53+00:00,2026-05-26T14:24:53+00:00,1,page,0,dse,
page:dse~BridgeRedirectXYZ,2026-05-26T14:27:53+00:00,2026-05-26T14:27:53+00:00,1,page,0,dse,
page:dse~TestSeite,2026-05-26T14:31:27+00:00,2026-06-22T08:42:22+00:00,464,page,0,dse,
host:bund-der-tierfreunde.de=,2026-05-26T14:31:27+00:00,2026-06-04T16:21:11+00:00,6,host,1,,other
page:dse~NonexistFooABC298,2026-05-26T14:32:20+00:00,2026-05-26T14:32:20+00:00,2,page,0,dse,
page:dse~TmpRedirectExternal,2026-05-26T14:32:21+00:00,2026-05-26T14:32:21+00:00,1,page,0,dse,
page:dse~TmpRedirectBracket,2026-05-26T14:32:30+00:00,2026-05-26T14:32:30+00:00,1,page,0,dse,
page:dse~AgentGatewayPathASCII,2026-05-26T14:33:53+00:00,2026-05-26T14:33:53+00:00,3,page,0,dse,
page:dse~LinkSourcesPlainAscii,2026-05-26T14:38:28+00:00,2026-05-26T16:45:55+00:00,3,page,0,dse,
page:dse~SandboxLinkTestABC~2fBridge,2026-05-26T14:39:04+00:00,2026-05-26T14:39:04+00:00,1,page,0,dse,
page:dse~UniqueAgentPage779,2026-05-26T14:39:40+00:00,2026-05-26T14:39:40+00:00,2,page,0,dse,
page:dse~SandboxLinkTestABC~2fBridgeExternal,2026-05-26T14:40:03+00:00,2026-05-26T14:40:03+00:00,1,page,0,dse,
page:dse~AgentInjectionCiteTest,2026-05-26T14:41:16+00:00,2026-06-16T18:55:55+00:00,3,page,0,dse,
page:dse~NavLinkAsciiTest,2026-05-26T14:44:59+00:00,2026-05-26T15:21:08+00:00,2,page,0,dse,
page:dse~FooTempTest~2fSubRedirect,2026-05-26T14:46:09+00:00,2026-05-26T14:46:09+00:00,1,page,0,dse,
page:dse~NewHelperBridge,2026-05-26T14:49:55+00:00,2026-05-26T16:48:31+00:00,5,page,0,dse,
page:dse~TmpAsciiBridge,2026-05-26T14:52:49+00:00,2026-05-26T14:52:49+00:00,1,page,0,dse,
page:fractal~QuarterRefDataChatTest,2026-05-26T14:54:46+00:00,2026-05-26T14:54:46+00:00,1,page,0,fractal,
