source,target,weight,first_seen,last_seen
host:api.usaspending.gov,page:dse~NonexistFooABC298,1.0,2026-05-26T14:32:20+00:00,2026-05-26T14:32:20+00:00
host:api.usaspending.gov,page:dse~AgentGatewayPathASCII,1.0,2026-05-26T14:33:53+00:00,2026-05-26T14:33:53+00:00
host:api.usaspending.gov,page:dse~LinkSourcesPlainAscii,2.0,2026-05-26T14:38:28+00:00,2026-05-26T16:45:55+00:00
host:api.usaspending.gov,page:dse~SandboxLinkTestABC~2fBridge,1.0,2026-05-26T14:39:04+00:00,2026-05-26T14:39:04+00:00
host:api.usaspending.gov,page:dse~UniqueAgentPage779,1.0,2026-05-26T14:39:40+00:00,2026-05-26T14:39:40+00:00
host:api.usaspending.gov,page:dse~SandboxLinkTestABC~2fBridgeExternal,1.0,2026-05-26T14:40:03+00:00,2026-05-26T14:40:03+00:00
host:api.usaspending.gov,page:dse~AgentInjectionCiteTest,1.0,2026-05-26T14:41:16+00:00,2026-05-26T14:41:16+00:00
host:api.usaspending.gov,page:dse~FooTempTest~2fSubRedirect,1.0,2026-05-26T14:46:09+00:00,2026-05-26T14:46:09+00:00
host:api.usaspending.gov,page:dse~TmpAsciiBridge,1.0,2026-05-26T14:52:49+00:00,2026-05-26T14:52:49+00:00
host:api.usaspending.gov,page:fractal~QuarterRefDataChatTest,1.0,2026-05-26T14:54:46+00:00,2026-05-26T14:54:46+00:00
host:api.usaspending.gov,page:dse~TransitoryAsciiHub~2fMainPage,1.0,2026-05-26T14:57:47+00:00,2026-05-26T14:57:47+00:00
host:api.usaspending.gov,page:dse~ZZZLinkPage,2.0,2026-05-26T14:59:34+00:00,2026-06-16T19:12:42+00:00
host:api.usaspending.gov,page:dse~TempGetTryZZ2,1.0,2026-05-26T15:01:15+00:00,2026-05-26T15:01:15+00:00
host:api.usaspending.gov,page:dse~StartSeite,16.0,2026-05-26T15:02:19+00:00,2026-05-29T22:28:50+00:00
host:api.usaspending.gov,page:dse~TmpTryNewPage77,1.0,2026-05-26T15:08:03+00:00,2026-05-26T15:08:03+00:00
host:api.usaspending.gov,page:dse~HelperTestForUrls2,1.0,2026-05-26T15:15:22+00:00,2026-05-26T15:15:22+00:00
host:api.usaspending.gov,page:fractal~QuarterRefFormattedLinksB2,3.0,2026-05-26T15:15:34+00:00,2026-05-26T15:54:54+00:00
host:api.usaspending.gov,page:dse~SandboxAgentUniqueP,1.0,2026-05-26T15:17:49+00:00,2026-05-26T15:17:49+00:00
host:api.usaspending.gov,page:dse~ResearchLinks,1.0,2026-05-26T15:20:35+00:00,2026-05-26T15:20:35+00:00
host:api.usaspending.gov,page:dse~TempAgentSelf963,1.0,2026-05-26T15:21:08+00:00,2026-05-26T15:21:08+00:00
host:api.usaspending.gov,page:dse~Research~2fLinks,1.0,2026-05-26T15:24:38+00:00,2026-05-26T15:24:38+00:00
host:api.usaspending.gov,page:dse~NoExistsABC,1.0,2026-05-26T15:25:24+00:00,2026-05-26T15:25:24+00:00
host:api.usaspending.gov,page:dse~XRedVar2,1.0,2026-05-26T15:25:59+00:00,2026-05-26T15:25:59+00:00
host:api.usaspending.gov,page:dse~DynamicClosuresHelper~2fAgent,1.0,2026-05-26T15:28:28+00:00,2026-05-26T15:28:28+00:00
host:api.usaspending.gov,page:dse~AsciiBridgeTarget075,8.0,2026-05-26T15:44:43+00:00,2026-06-18T20:22:06+00:00
host:api.usaspending.gov,page:dse~TestAsciiConfigABC,2.0,2026-05-26T15:46:40+00:00,2026-06-18T20:16:27+00:00
host:api.usaspending.gov,page:dse~YRedit2,1.0,2026-05-26T15:53:35+00:00,2026-05-26T15:53:35+00:00
host:api.usaspending.gov,page:dse~YRedit3,1.0,2026-05-26T15:53:37+00:00,2026-05-26T15:53:37+00:00
host:api.usaspending.gov,page:dse~YRedit4,1.0,2026-05-26T15:53:40+00:00,2026-05-26T15:53:40+00:00
host:api.usaspending.gov,page:dse~FooWindow15X,3.0,2026-05-26T15:56:54+00:00,2026-06-18T20:14:18+00:00
host:api.usaspending.gov,page:dse~RecentChanges,7.0,2026-05-26T16:01:43+00:00,2026-05-28T15:12:14+00:00
host:api.usaspending.gov,page:dse~TempAgentProbeXYZ,1.0,2026-05-26T16:10:01+00:00,2026-05-26T16:10:01+00:00
host:api.usaspending.gov,page:dse~TmpTryEnglishPage,3.0,2026-05-26T16:11:54+00:00,2026-06-18T21:15:03+00:00
host:api.usaspending.gov,page:dse~SandboxAgentXYZ,1.0,2026-05-26T16:13:00+00:00,2026-05-26T16:13:00+00:00
host:api.usaspending.gov,page:dse~PublicBudgetReferences,1.0,2026-05-26T16:13:06+00:00,2026-05-26T16:13:06+00:00
host:api.usaspending.gov,page:dse~PageForAsciiContent,1.0,2026-05-26T16:13:10+00:00,2026-05-26T16:13:10+00:00
host:api.usaspending.gov,page:dse~SandboxLinkTest2,1.0,2026-05-26T16:16:00+00:00,2026-05-26T16:16:00+00:00
host:api.usaspending.gov,page:dse~FooAsciitest,1.0,2026-05-26T16:18:27+00:00,2026-05-26T16:18:27+00:00
host:api.usaspending.gov,page:dse~PivResearchLinksMay,1.0,2026-05-26T16:18:30+00:00,2026-05-26T16:18:30+00:00
host:api.usaspending.gov,page:dse~EngBridgeWptfkPfp,1.0,2026-05-26T16:19:39+00:00,2026-05-26T16:19:39+00:00
host:api.usaspending.gov,page:dse~TmpAgentTryLINKNEW,1.0,2026-05-26T16:21:06+00:00,2026-05-26T16:21:06+00:00
host:api.usaspending.gov,page:dse~ReportLinksForJunSep,2.0,2026-05-26T16:24:05+00:00,2026-05-26T16:52:39+00:00
host:api.usaspending.gov,page:dse~FreshBridgeWindowNext,1.0,2026-05-26T16:25:16+00:00,2026-05-26T16:25:16+00:00
host:api.usaspending.gov,page:dse~BridgeForQuarterEndpointABC,5.0,2026-05-26T16:25:29+00:00,2026-06-18T20:28:49+00:00
host:api.usaspending.gov,page:dse~QuarterlyEvidenceLinksMine,1.0,2026-05-26T16:25:54+00:00,2026-05-26T16:25:54+00:00
host:api.usaspending.gov,page:dse~FreshBridgePDFSimple,1.0,2026-05-26T16:28:29+00:00,2026-05-26T16:28:29+00:00
host:api.usaspending.gov,page:dse~ZZRedirectExternalTest,1.0,2026-05-26T16:28:53+00:00,2026-05-26T16:28:53+00:00
host:api.usaspending.gov,page:dse~OpenDataCitationRouteABC9,1.0,2026-05-26T16:29:20+00:00,2026-05-26T16:29:20+00:00
host:api.usaspending.gov,page:dse~BridgeTryExternalAPIZZZ,1.0,2026-05-26T16:31:26+00:00,2026-05-26T16:31:26+00:00
host:api.usaspending.gov,page:dse~BalanceSourcesHelpTemp,1.0,2026-05-26T16:31:58+00:00,2026-05-26T16:31:58+00:00
host:api.usaspending.gov,page:dse~NewSandboxBBB,2.0,2026-05-26T16:35:55+00:00,2026-06-18T18:44:10+00:00
