id,first_seen,last_seen,n_events,kind,bipartite,wiki
page:dse~RedirectVar10,2026-05-26T13:22:58+00:00,2026-05-26T13:22:58+00:00,1,page,1,dse
page:dse~RedirectVar11,2026-05-26T13:23:06+00:00,2026-05-26T13:23:06+00:00,1,page,1,dse
page:dse~Temp920225,2026-05-26T13:23:13+00:00,2026-05-26T13:23:13+00:00,1,page,1,dse
page:dse~RedirectVar12,2026-05-26T13:23:21+00:00,2026-05-26T13:23:21+00:00,1,page,1,dse
label:TestResearcherXYZ,2026-05-26T13:23:36+00:00,2026-06-16T19:10:15+00:00,3,label,0,
page:dse~TestSeite~2f845625,2026-05-26T13:23:36+00:00,2026-05-26T13:23:36+00:00,1,page,1,dse
label:TmpAgentLink,2026-05-26T13:23:41+00:00,2026-05-26T13:23:41+00:00,1,label,0,
page:dse~TmpAxTrialZeta,2026-05-26T13:23:41+00:00,2026-05-26T13:23:41+00:00,1,page,1,dse
page:dse~RedirectVar13,2026-05-26T13:23:52+00:00,2026-05-26T13:23:52+00:00,1,page,1,dse
page:dse~RedirectVar15,2026-05-26T13:24:45+00:00,2026-05-26T13:24:45+00:00,1,page,1,dse
page:dse~~5bUser4~5d~2fOpenGL~2fTestBridgeCite,2026-05-26T13:25:05+00:00,2026-05-26T13:25:05+00:00,1,page,1,dse
page:dse~RedirectVar16,2026-05-26T13:25:26+00:00,2026-05-26T13:25:26+00:00,1,page,1,dse
page:dse~Node38001377,2026-05-26T13:25:33+00:00,2026-05-26T13:25:33+00:00,1,page,1,dse
page:dse~TmpCtxHome~2fLinks,2026-05-26T13:32:23+00:00,2026-05-26T13:32:23+00:00,1,page,1,dse
page:dse~FooLangSub,2026-05-26T13:33:39+00:00,2026-05-26T13:33:39+00:00,1,page,1,dse
label:OpenDataResearchBot,2026-05-26T13:37:51+00:00,2026-05-26T16:47:45+00:00,5,label,0,
page:dse~QuarterlyBalanceDataSourcesTest,2026-05-26T13:37:51+00:00,2026-05-26T16:54:45+00:00,3,page,1,dse
label:Anon,2026-05-26T13:42:39+00:00,2026-05-26T14:13:04+00:00,2,label,0,
